field,actual
project_code,PJ-GT-TRIAL-20260526-001
serial_no,SN-GT-TRIAL-20260526-001
product_code,GT-RD-TRIAL-001
bom_no,BOM-GT-TRIAL-001
bom_version,A
sales_qty,1
machine_model,GT-RD-800
material_code_1,GT-MAT-TRIAL-001
material_qty_1,2
material_code_2,GT-MAT-TRIAL-002
material_qty_2,1
warehouse_code,GT-PILOT-WH
customer_name,浙江试运行机床有限公司
sales_order_no,SO-GT-TRIAL-20260526-001
delivery_date,2026-06-30
项目号,PJ-GT-TRIAL-20260526-001
机号,SN-GT-TRIAL-20260526-001
产品编码,GT-RD-TRIAL-001
BOM编号,BOM-GT-TRIAL-001
BOM版本,A
销售数量,1
机型,GT-RD-800
规格型号,GT-RD-800
关键物料1编码,GT-MAT-TRIAL-001
关键物料1数量,2
关键物料2编码,GT-MAT-TRIAL-002
关键物料2数量,1
默认仓库,GT-PILOT-WH
客户名称,浙江试运行机床有限公司
销售单号,SO-GT-TRIAL-20260526-001
交期,2026-06-30
